rating,title,text,asin,parent_asin,user_id,helpful_vote,verified_purchase
5,Five Stars,This is the 5th or 6th bottle of this that Ive bought over the years I feel very confident that it helps tons,B07NDHXFTM,B01MZAWXL8,2ce68b5d,0,1
5,Three Stars,My two girls 4  2 love this stuff They cant wait to have it and want more after thier normal dose,B078RPQHGR,B07MZMDMRM,023a9181,0,1
5,Keep your blood pressure in check,looks good works Its a little too accurate,B00EIS9NTY,B014V78WHA,b8bc4d28,0,1
1,It really works you will notice the difference,The last time I saw my doctor she urge me to take vitamin d I actually took this bottle in for her to provide her expertise and she said this is perfect Especially since it is in a liquid form which makes it easier to absorb so that it actually gets into my system a lot faster than if I was taken it in a form of a pill Although I havent been taken this bottle of vitamin d3 for a long period of time I am very happy with it However I did notice my teeth arent a sensitive as they were prior to taking this vitamin d3 supplement I love the taste and the convenience of being able to use a dropper to take the vitamins especially when I am on the go its a huge help I definitely will be ordering more,B00HUWPH2W,B0191Y48ZS,ed491dc9,0,1
5,Color is weird but tastes good,I use this to make scalp treatments and as a carried for essential oils Its very absorbable and has a nice clear color and no scent Perfect,B00VKLMKGK,B07MZMDMRM,7ea141b6,0,1
5,Easy to sollow,Decent thermometer doesnt feel durable from the look and feel of it,B01N1UNQP4,B0030GZWHW,979efdd5,0,1
5,Five Stars,Price affordable,B015RZ7HM6,B076VMW6D5,01c25e64,0,1
5,Fabulous,My main concern is that the sizes of these gummies vary so greatly that its impossible to know if you are getting an exact dose as labeled or considerably less or maybe morebr Supplements should be consistent with little to no variance to ensure accurate dosesbr The presence of glucose corn syrup in a health product is concerning as well The 4 grams of sugar in two small gummies seems quite excessivebr On the plus side these are free of artificial dyes no red 40br Ill finish the jar eventually but will not Reorder,B01DHL1C6O,B01NBKP19D,ddc2c63b,0,1
1,Happy it has magnesium in it,Coconut oil is so good for you It has so many uses and thats why I continue to purchase this I use it to moisturize my body and for my hair This one in particular doesnt have a scent which is nice I dont like always smelling like coconuts so having no scent is great A little goes a long way so this bottle lasts me a little while Its a great deal for this bottle of coconut oil Ill continue to purchase it again and again,B01M192UKA,B01M192UKA,4771932a,0,1
4,A must have in every household,Has all your high quality B vitamins Works,B00437UNEY,B00412WK1K,4d91bd30,0,1
5,Great product will be back for more,FAKE REVIEWS EVERYWHERE check dates and how many reviews they have  The ratings for all the products are done usually on the same day and usually for only 3 items  SCAM,B078SBDGGB,B01A90FMHQ,12c76c0e,0,1
5,Five Stars,i have used this before so I know it works,B07L9FSQ2H,B07234HFF2,531c2f5e,0,1
5,Seems Ok,The smell is so awful I couldnt swallow them,B01AS1DXWC,B012CTUT9I,5439008a,0,1
5,Excellent seller,Great product fast delivery,B00RU8MEUO,B01NAJA29C,be2d6cd6,0,1
4,Great Multivitamin,Great scale I love that is wider than normal,B07HLB1JXX,B003EX82HS,c05ce70d,0,1
5,Thats sad Brooke down in three days,its nice and I like it,B07BFQ81FT,B07J1WGQPP,c50d712a,0,1
4,The very low dosage is so perfect for a good nights sleep and to replace the,Very nice scale Ive only had it a few days but all is well as of nowbr br Update Ive had this scale for a few months now and it works great Glass is thick and of great quality,B00XF7XF1G,B07VNKHMCK,c52bf7f8,0,1
5,Great multi,It helps with giving me the calories I need since I am not able to each much,B003EX82HS,B01A7HG78Y,ccc92fce,0,1
5,Waste of Money,Ingredients are decent but in my opinion tastes horrendous Impossible for me to get down regularly,B01M111LZ2,B07GNTYK8T,dac7c9b6,0,1
1,Yes it WORKS,I needed a new thermometer that was reliable and easy to use when I have a sick child This thermometer is jus that I love that I dont have to fight my boys in order to use the thermometer on them Although it is not instantaneous like the head and ear thermometer it is more reliable  My boys can take their own temp and know where there temp is just by taking a look at the picturesbr br I am so pleased with this thermometer that I bought a second one to take to camp with me,B00UIKIQ7Q,B00IHYIINC,bb77d181,0,1
1,Excellent product great price,Grey product The faces make checking your temp fun and the flexible tip makes for a comfortable experience,B07MZMDMRM,B07MZMDMRM,ca8df9ca,0,1
5,I dont think I can live without it,Good thing it came with two  clasp on one broke already,B004Z8UXV4,B01MTM8LCI,61178a8d,0,1
5,Worked for me,Ok you guys Ive never been so obsessed with a moisturizer before Ive struggled in the past to find one that works Other then the smell reminds me of the stuff my Granny used to use I will ALWAYS use this,B003TRO3MW,B07BZWYR17,ea7c0cf4,0,1
5,Great value item as described,Good quality product perfect size and moisturizing I used this for in the shower and washing and occasionally as a carrier oil I didnt eat this product so not sure on taste Will buy again,B01N2B8SQ1,B01IDMD0FI,3702f5c3,0,1
5,Accurate and lightweight,Liked,B006N3NYS8,B07YLXX1Q5,48e5f4e8,0,1
1,Not a true gummy,This is my gazillionth purchase from bulk supplements I havent been using this long enough to tell if it is working yet  how ever the smell is quite offensive I am going to do some research as I think the pure form is just this waybr br  updatebr I changed from 3 stars to 5 as there is no issue with the quality of this product whatsoever However Ive since found it more convenient to take my mag glycinate in pill form However if youre capping your own supplements or needing to add magnesium to a smoothie or another purpose this is Aok,B00K8B6Y60,B00L2NX8YE,a25aa8c7,0,1
